movie_id,title,cleaned_tags
24428,The Avengers,unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known shield finds need team pull world back brink disaster spanning globe daring recruitment effort begins science fiction action adventure new york shield marvel comic superhero based comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe robert downey jr chris evans mark ruffalo
1865,Pirates of the Caribbean: On Stranger Tides,captain jack sparrow crosses paths woman past hes sure love shes ruthless con artist whos using find fabled fountain youth forces aboard queen annes revenge ship formidable pirate blackbeard jack finds unexpected adventure doesnt know fear blackbeard woman past adventure action fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger johnny depp penélope cruz ian mcshane
41154,Men in Black 3,agents j smith k tommy lee jones backin time j seen inexplicable things years men black nothing even aliens perplexes much wry reticent partner ks life fate planet put stake agent j travel back time put things right j discovers secrets universe k never told secrets reveal teams young agent k josh brolin save partner agency future humankind action comedy science fiction time travel time machine alien fictional government agency seeing future changing history smith tommy lee jones josh brolin
122917,The Hobbit: The Battle of the Five Armies,immediately events desolation smaug bilbo dwarves try defend erebors mountain treasure others claim men ruined laketown elves mirkwood meanwhile army orcs led azog defiler marching erebor fueled rise dark lord sauron dwarves elves men must unite hope middleearth falls bilbos hands action adventure fantasy corruption elves dwarves orcs middleearth tolkien hobbit dragon battle unlikely friendship epic battle sword sorcery martin freeman ian mckellen richard armitage
1930,The Amazing Spider-Man,peter parker outcast high schooler abandoned parents boy leaving raised uncle ben aunt may like teenagers peter trying figure got person today peter discovers mysterious briefcase belonged father begins quest understand parents disappearance leading directly oscorp lab dr curt connors fathers former partner spiderman set collision course connors alter ego lizard peter make lifealtering choices use powers shape destiny become hero action adventure fantasy loss father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger andrew garfield emma stone rhys ifans
20662,Robin Hood,soldier robin happens upon dying robert loxley promises return mans sword family nottingham assumes roberts identity romances widow marion draws ire towns sheriff king johns henchman godfrey action adventure robin hood archer knight sherwood forest bow arrow middle ages medieval king england russell crowe cate blanchett max von sydow
57158,The Hobbit: The Desolation of Smaug,dwarves bilbo gandalf successfully escaped misty mountains bilbo gained one ring continue journey get gold back dragon smaug adventure fantasy elves dwarves orcs hobbit dragon wizard sword sorcery martin freeman ian mckellen richard armitage
2268,The Golden Compass,overhearing shocking secret precocious orphan lyra belacqua trades carefree existence roaming halls jordan college otherworldly adventure far north unaware part destiny adventure fantasy england compass experiment lordship uncle polar bear orphan animal based young adult novel dakota blue richards nicole kidman daniel craig
254,King Kong,new york overly ambitious movie producer coerces cast hired ship crew travel mysterious skull island encounter kong giant ape immediately smitten leading lady adventure drama action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur naomi watts jack black adrien brody
597,Titanic,years later yearold woman named rose dewitt bukater tells story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april th ship called titanic young rose boards departing ship upperclass passengers mother ruth dewitt bukater fiancé caledon hockley meanwhile drifter artist named jack dawson best friend fabrizio de rossi win thirdclass tickets ship game explains whole story departure death titanic first last voyage april th morning drama romance thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob kate winslet leonardo dicaprio frances fisher
271110,Captain America: Civil War,following events age ultron collective governments world pass act designed regulate superhuman activity polarizes opinion amongst avengers causing two factions side iron man captain america causes epic battle former allies adventure action science fiction civil war war marvel comic sequel superhero based comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe chris evans robert downey jr scarlett johansson
44833,Battleship,mankind beams radio signal space reply comes planet g form several alien crafts splash waters hawaii lieutenant alex hopper weapons officer assigned uss john paul jones part international naval coalition becomes worlds last hope survival engage hostile alien force unimaginable strength taking invaders hopper must also try live potential brother fiancées father admiral shane expect thriller action adventure science fiction fight us navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs staff crash landing jet fighter pilot navy lieutenant permission marry uss john paul jones based board game aftercreditsstinger mighty mo uss missouri taylor kitsch alexander skarsgård rihanna
135397,Jurassic World,twentytwo years events jurassic park isla nublar features fully functioning dinosaur theme park jurassic world originally envisioned john hammond action adventure science fiction thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park animal horror chris pratt bryce dallas howard irrfan khan
37724,Skyfall,bonds latest assignment goes gravely wrong agents around world exposed mi attacked forcing relocate agency events cause authority position challenged gareth mallory new chairman intelligence security committee mi compromised inside left one ally trust bond takes shadows aided field agent eve following trail mysterious silva whose lethal hidden motives yet reveal action adventure thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating police officer macao daniel craig judi dench javier bardem
558,Spider-Man 2,peter parker going major identity crisis burned spiderman decides shelve superhero alter ego leaves city suffering wake carnage left evil doc ock meantime parker still cant act feelings mary jane watson girl hes loved since childhood action adventure fantasy dual identity love ones life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain tobey maguire kirsten dunst james franco
68721,Iron Man 3,tony starks world torn apart formidable terrorist called mandarin starts odyssey rebuilding retribution action adventure science fiction terrorist war terror tennessee malibu marvel comic superhero based comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin war machine iron patriot extremis robert downey jr gwyneth paltrow cheadle
12155,Alice in Wonderland,alice unpretentious individual yearold betrothed dunce english nobleman engagement party escapes crowd consider whether go marriage falls hole garden spotting unusual rabbit arriving strange surreal place called underland finds world resembles nightmares child filled talking animals villainous queens knights frumious bandersnatches alice realizes reason conquer horrific jabberwocky restore rightful queen throne family fantasy adventure based novel fictional place queen fantasy alice wonderland fantasy world mia wasikowska johnny depp anne hathaway
36668,X-Men: The Last Stand,cure found treat mutations lines drawn amongst xmen brotherhood band powerful mutants organized xaviers former ally magneto adventure action science fiction thriller mutant marvel comic based comic book superhuman beast cyclops aftercreditsstinger hugh jackman halle berry ian mckellen
62211,Monsters University,look relationship mike sulley days monsters university werent necessarily best friends animation family monster dormitory games animation best friend university scary aftercreditsstinger billy crystal john goodman steve buscemi
8373,Transformers: Revenge of the Fallen,sam witwicky leaves autobots behind normal life mind filled cryptic symbols decepticons target dragged back transformers war science fiction action adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger shia labeouf megan fox josh duhamel
91314,Transformers: Age of Extinction,humanity picks pieces following conclusion transformers dark moon autobots decepticons vanished face planet however group powerful ingenious businessman scientists attempt learn past transformer incursions push boundaries technology beyond control ancient powerful transformer menace sets earth crosshairs science fiction action adventure sequel alien transformers giant robot robot imax transforming robot mark wahlberg stanley tucci kelsey grammer
68728,Oz: The Great and Powerful,oscar diggs smalltime circus illusionist conartist whisked kansas land oz inhabitants assume hes great wizard prophecy save oz clutches evil fantasy adventure family circus witch magic hope illusion lost magic trick wizard james franco mila kunis rachel weisz
102382,The Amazing Spider-Man 2,peter parker life busy taking bad guys spiderman spending time person loves gwen stacy high school graduation cannot come quickly enough peter forgotten promise made gwens father protect staying away promise cannot keep things change peter new villain electro emerges old friend harry osborn returns peter uncovers new clues past action adventure fantasy obsession marvel comic sequel based comic book electrocution medical experiment electricity super powers andrew garfield emma stone jamie foxx
20526,TRON: Legacy,sam flynn techsavvy daring son kevin flynn investigates fathers disappearance pulled grid help mysterious program named quorra sam quests stop evil dictator clu crossing real world adventure action science fiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy garrett hedlund jeff bridges olivia wilde
49013,Cars 2,star race car lightning mcqueen pal mater head overseas compete world grand prix race road championship becomes rocky mater gets caught intriguing adventure international espionage animation family adventure comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger owen wilson larry cable guy michael caine
44912,Green Lantern,centuries small powerful force warriors called green lantern corps sworn keep intergalactic order green lantern wears ring grants superpowers new enemy called parallax threatens destroy balance power universe fate fate earth lie hands first human ever recruited adventure action thriller science fiction dc comics transformation superhero alien alien infection magical object protector super powers origin ryan reynolds blake lively peter sarsgaard
10193,Toy Story 3,woody buzz rest andys toys havent played years andy go college gang find accidentally left nefarious day care center toys must band together escape return home andy animation family comedy hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes life personification inanimate objects coming life toy story tom hanks tim allen ned beatty
534,Terminator Salvation,grown postapocalyptic john connor must lead resistance humans increasingly dominating militaristic robots marcus wright appears existence confuses mission connor tries determine whether wright come future past whether hes friend foe action science fiction thriller saving world artificial intelligence prophecy san francisco cyborg killer robot gas station postapocalyptic dystopia army firearm wartime los angeles christian bale sam worthington anton yelchin
168259,Furious 7,deckard shaw seeks revenge dominic toretto family comatose brother action car race speed revenge suspense car race muscle car vin diesel paul walker dwayne johnson
72190,World War Z,life former united nations investigator gerry lane family seems content suddenly world plagued mysterious infection turning whole human populations rampaging mindless zombies barely escaping chaos lane persuaded go mission investigate disease follows perilous trek around world lane must brave horrific dangers long odds find answers human civilization falls action drama horror science fiction thriller dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse brad pitt mireille enos abigail hargrove
127585,X-Men: Days of Future Past,ultimate xmen ensemble fights war survival species across two time periods join forces younger selves epic battle must change past save future action adventure fantasy science fiction mutant time travel marvel comic based comic book superhuman storm beast aftercreditsstinger changing past future hugh jackman james mcavoy michael fassbender
54138,Star Trek Into Darkness,crew enterprise called back home find unstoppable force terror within organization detonated fleet everything stands leaving world state crisis personal score settle captain kirk leads manhunt warzone world capture one man weapon mass destruction heroes propelled epic chess game life death love challenged friendships torn apart sacrifices must made family kirk left crew action adventure science fiction spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing chris pine zachary quinto zoe saldana
81005,Jack the Giant Slayer,story ancient war reignited young farmhand unwittingly opens gateway world fearsome race giants unleashed earth first time centuries giants strive reclaim land lost forcing young man jack battle life stop fighting kingdom people love brave princess comes face face unstoppable warriors thought existed legendand gets chance become legend action family fantasy based fairy tale giant nicholas hoult eleanor tomlinson ewan mcgregor
64682,The Great Gatsby,adaptation f scott fitzgeralds long islandset novel midwesterner nick carraway lured lavish world neighbor jay gatsby soon enough however carraway see cracks gatsbys nouveau riche existence obsession madness tragedy await drama romance based novel infidelity obsession hope leonardo dicaprio tobey maguire carey mulligan
9543,Prince of Persia: The Sands of Time,rogue prince reluctantly joins forces mysterious princess together race dark forces safeguard ancient dagger capable releasing sands time gift gods reverse time allow possessor rule world adventure fantasy action romance persia sandstorm brother brother armageddon regent based video game jake gyllenhaal gemma arterton ben kingsley
68726,Pacific Rim,legions monstrous creatures known kaiju started rising sea war began would take millions lives consume humanitys resources years end combat giant kaiju special type weapon devised massive robots called jaegers controlled simultaneously two pilots whose minds locked neural bridge even jaegers proving nearly defenseless face relentless kaiju verge defeat forces defending mankind choice turn two unlikely heroesa washedup former pilot charlie hunnam untested trainee rinko kikuchiwho teamed drive legendary seemingly obsolete jaeger past together stand mankinds last hope mounting apocalypse action science fiction adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger idris elba charlie hunnam charlie day
38356,Transformers: Dark of the Moon,sam witwicky takes first tenuous steps adulthood remaining reluctant human ally autobotleader optimus prime film centers around space race ussr usa suggesting hidden transformers role remains one planets dangerous secrets action science fiction adventure moon spacecraft traitor bodyguard alien planet based cartoon transformers giant robot sabotage word domination commando duringcreditsstinger shia labeouf john malkovich ken jeong
217,Indiana Jones and the Kingdom of the Crystal Skull,set cold war soviets led swordwielding irina spalko search crystal skull supernatural powers related mystical lost city gold captured escaping indy coerced head peru behest young man whose friend indys colleague professor oxley captured knowledge skulls whereabouts adventure action saving world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology harrison ford cate blanchett shia labeouf
105864,The Good Dinosaur,epic journey world dinosaurs apatosaurus named arlo makes unlikely human friend adventure animation family tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey raymond ochoa jack bright jeffrey wright
62177,Brave,brave set mystical scottish highlands mérida princess kingdom ruled king fergus queen elinor unruly daughter accomplished archer mérida one day defies sacred custom land inadvertently brings turmoil kingdom attempt set things right mérida seeks eccentric old wise woman granted illfated wish also figuring méridas quest serving comic relief kingdoms three lords enormous lord macguffin surly lord macintosh disagreeable lord dingwall animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns animal archery ruins aftercreditsstinger peace offering woman director courage kelly macdonald julie walters billy connolly
188927,Star Trek Beyond,uss enterprise crew explores furthest reaches uncharted space encounter mysterious new enemy puts everything federation stands test action adventure science fiction sequel stranded hatred space opera chris pine zachary quinto karl urban
10681,WALL·E,walle last robot left earth overrun garbage humans fled outer space years continued try clean mess developed rather interesting humanlike qualities ship arrives sleek new type robot walle thinks hes finally found friend stows away ship leaves animation family romantic comedy ben burtt elissa knight jeff garlin
5174,Rush Hour 3,attempted assassination ambassador han inspector lee detective carter back action head paris protect french woman knowledge triads secret leaders lee also holds secret meetings united nations authority personal struggles chinese criminal mastermind named kenji reveals lees longlostbrother action comedy crime thriller ambassador chris tucker jackie chan hiroyuki sanada
14161,2012,dr adrian helmsley part worldwide geophysical team investigating effect earth radiation unprecedented solar storms learns earths core heating warns us president thomas wilson crust earth becoming unstable without proper preparations saving fraction worlds population entire race doomed meanwhile writer jackson curtis stumbles information worlds leaders race build arks escape impending cataclysm curtis struggles find way save family meanwhile volcanic eruptions earthquakes unprecedented strength wreak havoc around world action adventure science fiction civilization natural disaster end world disaster apocalypse destruction volcanic eruption mayan ark solar destruction mankind john cusack amanda peet chiwetel ejiofor
17979,A Christmas Carol,miser ebenezer scrooge awakened christmas eve spirits reveal miserable existence opportunities wasted youth current cruelties dire fate awaits change ways scrooge faced story growing bitterness meanness must decide future hold death redemption animation drama holiday based novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas gary oldman jim carrey steve valentine
76757,Jupiter Ascending,universe human genetic material precious commodity impoverished young earth woman becomes key strategic maneuvers internal strife within powerful dynasty science fiction fantasy action adventure jupiter space woman director interspecies romance mila kunis channing tatum sean bean
258489,The Legend of Tarzan,tarzan acclimated life london called back former home jungle investigate activities mining encampment action adventure africa feral child tarzan jungle animal attack alexander skarsgård margot robbie christoph waltz
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",siblings lucy edmund susan peter step magical wardrobe find land narnia discover charming peaceful kingdom plunged eternal winter evil white witch jadis aided wise magnificent lion aslan children lead narnia spectacular climactic battle free witchs glacial powers forever adventure family fantasy saving world witch based novel brother sister relationship self sacrifice winter cupboard beaver lion fairytale figure battle narnia fantasy world duringcreditsstinger william moseley anna popplewell skandar keynes
246655,X-Men: Apocalypse,reemergence worlds first mutant worlddestroyer apocalypse xmen must unite defeat extinction level plan science fiction mutant supernatural powers marvel comic superhero based comic book superhuman apocalypse superhero team world domination aftercreditsstinger james mcavoy michael fassbender jennifer lawrence
155,The Dark Knight,batman raises stakes war crime help lt jim gordon district attorney harvey dent batman sets dismantle remaining criminal organizations plague streets partnership proves effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizens gotham joker drama action crime thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman christian bale heath ledger aaron eckhart
14160,Up,carl fredricksen spent entire life dreaming exploring globe experiencing life fullest age life seems passed twist fate persistent year old wilderness explorer named russell gives new lease life animation comedy family adventure age difference central south america balloon animation floating air duringcreditsstinger exploring ed asner christopher plummer jordan nagai
15512,Monsters vs Aliens,susan murphy unwittingly clobbered meteor full outer space gunk wedding day mysteriously grows feetinches military jumps action captures susan secreting away covert government compound renamed ginormica placed confinement ragtag group monsters animation family adventure science fiction alien giant robot duringcreditsstinger seth rogen reese witherspoon hugh laurie
1726,Iron Man,held captive afghan cave billionaire engineer tony stark creates unique weaponized suit armor fight evil action science fiction adventure middle east arms dealer malibu marvel comic superhero based comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson robert downey jr terrence howard jeff bridges
44826,Hugo,hugo orphan boy living walls train station paris learned fix clocks gadgets father uncle puts use keeping train station clocks running thing left connects dead father automaton mechanical man doesnt work without special key hugo needs find unlock secret believes contains adventures meets shopkeeper george melies works train station adventureseeking goddaughter hugo finds surprising connection father automaton discovers unlocks memories old man buried inside regarding past adventure drama family library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman ben kingsley sacha baron cohen asa butterfield
8487,Wild Wild West,legless southern inventor dr arliss loveless plans rekindle civil war assassinating president us grant two men stop gunfighter james west masterofdisguise inventor artemus gordon two must team thwart loveless plans action adventure comedy science fiction western steampunk based tv series steam locomotive drag smith kevin kline kenneth branagh
1735,The Mummy: Tomb of the Dragon Emperor,archaeologist rick oconnell travels china pitting emperor yearold han dynasty whos returned dead pursue quest world domination time oconnell enlists help wife son quash socalled dragon emperor abuse supernatural power adventure action fantasy brendan fraser jet li john hannah
297761,Suicide Squad,dc comics comes suicide squad antihero team incarcerated supervillains act deniable assets united states government undertaking highrisk black ops missions exchange commuted prison sentences action adventure crime fantasy science fiction dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe smith margot robbie joel kinnaman
2698,Evan Almighty,god contacts congressman evan baxter tells build ark preparation great flood fantasy comedy family father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noahs ark steve carell lauren graham john goodman
137113,Edge of Tomorrow,major bill cage officer never seen day combat unceremoniously demoted dropped combat cage killed within minutes managing take alpha alien awakens back beginning day forced fight die physical contact alien thrown time loop action science fiction deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton tom cruise emily blunt brendan gleeson
9804,Waterworld,futuristic world polar ice caps melted made earth liquid planet beautiful barmaid rescues mutant seafarer floating island prison escape along young charge enola sail aboard ship trio soon becomes target menacing pirate covets map dryland tattooed enolas back adventure action ocean tattoo mutant water dystopia doomsday kevin costner chaim girafi rick aviles
14869,G.I. Joe: The Rise of Cobra,egyptian desert deep polar ice caps elite gi joe team uses latest nextgeneration spy military equipment fight corrupt arms dealer destro growing threat mysterious cobra organization prevent plunging world chaos adventure action thriller science fiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra dennis quaid channing tatum marlon wayans
150540,Inside Out,growing bumpy road exception riley uprooted midwest life father starts new job san francisco like us riley guided emotions joy fear anger disgust sadness emotions live headquarters control center inside rileys mind help advise everyday life riley emotions struggle adjust new life san francisco turmoil ensues headquarters although joy rileys main important emotion tries keep things positive emotions conflict best navigate new city house school drama comedy animation family dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger emotions amy poehler phyllis smith richard kind
278927,The Jungle Book,threat tiger shere khan forces flee jungle mancub named mowgli embarks journey self discovery help panther bagheera free spirited bear baloo family adventure drama fantasy based novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking animals neel sethi bill murray ben kingsley
10138,Iron Man 2,world aware dual life armored superhero iron man billionaire inventor tony stark faces pressure government press public share technology military unwilling let go invention stark pepper potts james rhodey rhodes side must forge new alliances confront powerful enemies adventure action science fiction malibu marvel comic superhero based comic book revenge aftercreditsstinger marvel cinematic universe robert downey jr gwyneth paltrow cheadle
58595,Snow White and the Huntsman,evil queen marries king performs violent coup king murdered daughter snow white taken captive almost decade later grown snow white still clutches queen order obtain immortality evil queen needs heart snow white snow escapes castle queen sends huntsman find dark forest adventure fantasy drama queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress kristen stewart charlize theron chris hemsworth
102651,Maleficent,untold story disneys iconic villain classic sleeping beauty beautiful purehearted young woman maleficent idyllic life growing peaceable forest kingdom one day invading army threatens harmony land maleficent rises lands fiercest protector ultimately suffers ruthless betrayal act begins turn heart stone bent revenge maleficent faces epic battle invading kings successor result places curse upon newborn infant aurora child grows maleficent realizes aurora holds key peace kingdom maleficents true happiness well fantasy adventure action family romance fairy tale villain sleeping beauty dark fantasy based fairy tale adaptation retelling literary adaptation angelina jolie elle fanning sharlto copley
119450,Dawn of the Planet of the Apes,group scientists san francisco struggle stay alive aftermath plague wiping humanity caesar tries maintain dominance community intelligent apes science fiction action drama thriller leader colony postapocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague andy serkis jason clarke gary oldman
79698,The Lovers,lovers epic romance time travel adventure film helmed roland joffé story ajey jhankar film sweeping tale impossible love set backdrop first anglomaratha war across two time periods continents centred around four characters british officer th century colonial india indian woman falls deeply love american presentday marine biologist wife action adventure science fiction romance josh hartnett simone kessell tamsin egerton
64686,47 Ronin,based original movie japan ancient japans enduring tale epic fantasyadventure ronin born keanu reeves leads cast kai outcast joins oishi hiroyuki sanada leader outcast samurai together seek vengeance upon treacherous overlord killed master banished kind restore honor homeland warriors embark upon quest challenges series trials would destroy ordinary warriors drama action adventure fantasy japan suicide samurai based true story samurai sword ronin shogun half breed keanu reeves hiroyuki sanada kou shibasaki
100402,Captain America: The Winter Soldier,cataclysmic events new york avengers steve rogers aka captain america living quietly washington dc trying adjust modern world shield colleague comes attack steve becomes embroiled web intrigue threatens put world risk joining forces black widow captain america struggles expose everwidening conspiracy fighting professional assassins sent silence every turn full scope villainous plot revealed captain america black widow enlist help new ally falcon however soon find unexpected formidable enemythe winter soldier action adventure science fiction washington dc future shield marvel comic superhero based comic book captain america aftercreditsstinger duringcreditsstinger marvel cinematic universe political thriller chris evans samuel l jackson scarlett johansson
10192,Shrek Forever After,bored domesticated shrek pacts dealmaker rumpelstiltskin get back feeling like real ogre hes duped sent twisted version far far awaywhere rumpelstiltskin king ogres hunted fiona never methe sets restore world reclaim true love comedy adventure fantasy animation family ogre mike myers eddie murphy cameron diaz
158852,Tomorrowland,bound shared destiny bright optimistic teen bursting scientific curiosity former boygenius inventor jaded disillusionment embark dangerfilled mission unearth secrets enigmatic place somewhere time space exists collective memory tomorrowland adventure family mystery science fiction inventor apocalypse destiny imax dreamer futuristic car futuristic city britt robertson george clooney raffey cassidy
177572,Big Hero 6,special bond develops plussized inflatable robot baymax prodigy hiro hamada team group friends form band hightech heroes adventure family animation action comedy brother brother relationship hero talent revenge best friend another dimension robot boy genius hate aftercreditsstinger moral dilemma teen superheroes dead brother scott adsit ryan potter daniel henney
82690,Wreck-It Ralph,wreckit ralph foottall pound villain arcade video game named fixit felix jr games titular hero fixes buildings ralph destroys wanting prove good guy villain ralph escapes game lands heros duty firstperson shooter helps games hero battle alien invaders later enters sugar rush kart racing game set tracks made candies cookies sweets ralph meets vanellope von schweetz learned game faced dire threat could affect entire arcade one ralph may inadvertently started family animation comedy adventure support group product placement bullying racing arcade medal self esteem curiosity precocious child aftercreditsstinger duringcreditsstinger first person shooter glitch carefree video gamer qbert interrupted wedding social reject john c reilly sarah silverman jack mcbrayer
